imbd_title_id,original_titlê,release_year,genrë,duration,country,content_rating,director,income,votes,score,duration_bin,duration_log,duration_outlier,income_bin,income_scaled,income_log,income_outlier,votes_bin,votes_scaled,votes_outlier
tt0111161,the shawshank redemption,1995-02-10,drama,142.0,USA,r,frank darabont,28815245.0,195.789,9.3,"(125.0, 149.0]",4.962845,False,"(23341568.0, 108110316.0]",-0.6058205018558611,17.17641518003666,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0068646,the godfather,2000-05-19,"crime, drama",175.0,USA,r,francis ford coppola,246120974.0,195.789,9.2,"(149.0, 229.0]",5.170484,False,"(108110316.0, 390133212.0]",-0.10674497941839478,19.32133374131092,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0468569,the dark knight,2000-05-19,"action, crime, drama",152.0,US,pg-13,christopher nolan,1005455211.0,195.789,9.0,"(149.0, 229.0]",5.030438,False,"(390133212.0, 2797800564.0]",1.6371811139218773,20.728706223171486,True,"(195.78799999999998, 335.892]",-0.9337392,False
tt0071562,"the godfather, part ii",1975-09-25,"crime, drama",220.0,USA,r,francis ford coppola,48035783.0,195.789,8.6,"(149.0, 229.0]",5.398163,True,"(23341568.0, 108110316.0]",-0.5616776249606129,17.687456791125072,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0110912,pulp fiction,1994-10-28,"crime, drama",116.0,USA,r,quentin tarantino,222831817.0,195.789,8.6,"(115.0, 125.0]",4.762174,False,"(108110316.0, 390133212.0]",-0.16023205613004088,19.221927865515863,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0167260,"the lord of the rings, the return of the king",2000-05-19,"action, adventure, drama",201.0,NEW ZEALAND,pg-13,peter jackson,1142271098.0,195.789,8.9,"(149.0, 229.0]",5.3082676,True,"(390133212.0, 2797800564.0]",1.9513995222284084,20.85628430967501,True,"(195.78799999999998, 335.892]",-0.9337392,False
tt0108052,schindler's list,1994-03-11,"biography, drama, history",116.0,USA,r,steven spielberg,322287794.0,195.789,8.9,"(115.0, 125.0]",4.762174,False,"(108110316.0, 390133212.0]",0.06818365987164648,19.59095547762309,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0050083,12 angry men,1957-09-04,"crime, drama",96.0,USA,not rated,sidney lumet,576.0,668.473,8.9,"(80.999, 115.0]",4.574711,False,"(575.999, 23341568.0]",-0.6719977538372742,6.3578422665081,False,"(335.892, 703.264]",0.79049665,False
tt1375666,inception,2010-09-24,"action, adventure, sci-fi",148.0,USA,pg-13,christopher nolan,869784991.0,195.789,8.6,"(125.0, 149.0]",5.0039463,False,"(390133212.0, 2797800564.0]",1.3255939034176114,20.583756603437678,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0137523,fight club,2000-05-19,drama,116.0,UK,r,david fincher,101218804.0,195.789,8.8,"(115.0, 125.0]",4.762174,False,"(23341568.0, 108110316.0]",-0.43953476148195264,18.432795117713315,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0109830,forrest gump,1994-10-06,"drama, romance",142.0,USA,pg-13,robert zemeckis,678229452.0,195.789,8.6,"(125.0, 149.0]",4.962845,False,"(390133212.0, 2797800564.0]",0.8856575927545112,20.33499621490511,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0120737,"the lord of the rings, the fellowship of the ring",2002-01-18,"action, adventure, drama",116.0,NEW ZEALAND,pg-13,peter jackson,887934303.0,195.789,8.8,"(115.0, 125.0]",4.762174,False,"(390133212.0, 2797800564.0]",1.3672765475428408,20.60440831623766,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0060196,"il buono, il brutto, il cattivo",2000-05-19,western,161.0,ITALY,approved,sergio leone,25252481.0,672.499,8.8,"(149.0, 229.0]",5.0875964,False,"(23341568.0, 108110316.0]",-0.614002929041761,17.04443500588451,False,"(335.892, 703.264]",0.8051825,False
tt0027977,12 angry men,2000-05-19,drama,116.0,USA,r,christopher nolan,576.0,195.789,8.6,"(115.0, 125.0]",4.762174,False,"(575.999, 23341568.0]",-0.6719977538372742,6.3578422665081,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0133093,the matrix,1999-05-07,"action, sci-fi",116.0,USA,r,"lana wachowski, lilly wachowski",465718588.0,195.789,8.6,"(115.0, 125.0]",4.762174,False,"(390133212.0, 2797800564.0]",0.3975942040785625,19.95909212341107,False,"(195.78799999999998, 335.892]",-0.9337392,False
tt0167261,"the lord of the rings, the two towers",2000-05-19,"action, adventure, drama",179.0,NEW ZEALAND,pg-13,peter jackson,951227416.0,195.789,8.6,"(149.0, 229.0]",5.192957,False,"(390133212.0, 2797800564.0]",1.5126387686979426,20.67326372651671,True,"(195.78799999999998, 335.892]",-0.9337392,False
tt0080684,"star wars, episode v - the empire strikes back",1980-09-19,"action, adventure, fantasy",116.0,USA,pg,irvin kershner,549265501.0,195.789,8.6,"(115.0, 125.0]",4.762174,False,"(390133212.0, 2797800564.0]",0.5894723448224384,20.124092492772444,False,"(195.78799999999998, 335.892]",-0.9337392,False
